metric,n,mean,sd,cv,median,min,max,range,q25,q75,iqr,ci_lower,ci_upper,ci_width,shapiro_stat,shapiro_p,is_normal
Move Accuracy,50,0.8200749063670412,0.011866917924150401,1.4470529255335027,0.8202247191011236,0.7940074906367042,0.8389513108614233,0.0449438202247191,0.8099250936329587,0.8305243445692885,0.02059925093632975,0.8167023656085717,0.8234474471255107,0.006745081516938978,0.961141322343606,0.09924472773545123,True
Step Accuracy,50,0.4855430711610487,0.01782207496858043,3.670544597817784,0.4868913857677903,0.45318352059925093,0.5355805243445693,0.08239700374531833,0.4756554307116105,0.4943820224719101,0.018726591760299616,0.480478093496569,0.49060804882552844,0.010129955328959439,0.9699455407766205,0.23027220127844347,True
Move F1,50,0.8326056733676852,0.010149269646360847,1.2189767582665572,0.833218106234626,0.8088155969327341,0.8500677592358664,0.041252162303132334,0.8258930978851392,0.8414916967055486,0.01559859882040937,0.8297212828486112,0.8354900638867592,0.00576878103814793,0.9745739499779441,0.3514916975118881,True
Step F1,50,0.49710262331022576,0.018799780649001178,3.7818711403719227,0.49853145967169493,0.45859074216320556,0.5435626555514093,0.0849719133882037,0.4841614064474975,0.5062052242920745,0.022043817844576985,0.49175978476577015,0.5024454618546813,0.01068567708891116,0.9814219883892688,0.6132936357395118,True
