condition,step,move,n_sentences,n_runs,mean_accuracy,sd_accuracy,cv,median,min,max,range
zero_shot,1b,1,14,100,0.5326666666666666,0.03334530275185576,6.260069352663784,0.5333333333333333,0.4444444444444444,0.6,0.15555555555555556
zero_shot,1c,1,27,100,0.49567567567567555,0.0369787511159409,7.460271490129846,0.4954954954954955,0.38738738738738737,0.6126126126126126,0.2252252252252252
zero_shot,2b,2,19,100,0.7208695652173914,0.05358222271688096,7.432998326225946,0.7391304347826086,0.5652173913043478,0.8260869565217391,0.26086956521739135
zero_shot,3b,3,15,100,0.5154166666666667,0.05151159251916825,9.994165080517686,0.5,0.4166666666666667,0.6666666666666666,0.24999999999999994
zero_shot,3c,3,10,100,0.216875,0.05214390417320363,24.043298754214927,0.1875,0.125,0.375,0.25
