condition,step,move,n_sentences,n_runs,mean_accuracy,sd_accuracy,cv,median,min,max,range
fine_tuned,1b,1,14,50,0.33599999999999997,0.05654715956371383,16.82951177491483,0.3333333333333333,0.2222222222222222,0.4888888888888889,0.26666666666666666
fine_tuned,1c,1,27,50,0.8297297297297298,0.04222658871691871,5.089197988684013,0.8333333333333333,0.7477477477477478,0.9099099099099099,0.16216216216216217
fine_tuned,2b,2,19,50,0.5530434782608695,0.07245548606915621,13.101227826970069,0.5652173913043478,0.34782608695652173,0.6956521739130435,0.34782608695652173
fine_tuned,3b,3,15,50,0.6225,0.1179743284654367,18.95169935187738,0.625,0.2916666666666667,0.9166666666666666,0.625
fine_tuned,3c,3,10,50,0.35125,0.19880462283665462,56.59918087876288,0.3125,0.0,0.75,0.75
