condition,step,move,n_sentences,n_runs,mean_accuracy,sd_accuracy,cv,median,min,max,range
zero_shot,1b,1,14,50,0.5386666666666666,0.03063450941413287,5.68709951995041,0.5333333333333333,0.4666666666666667,0.6,0.1333333333333333
zero_shot,1c,1,27,50,0.5039639639639639,0.038584719282892754,7.656245692529668,0.5045045045045045,0.4144144144144144,0.6126126126126126,0.19819819819819817
zero_shot,2b,2,19,50,0.7278260869565217,0.04875677492370278,6.698959517593571,0.7391304347826086,0.5652173913043478,0.782608695652174,0.21739130434782616
zero_shot,3b,3,15,50,0.5149999999999999,0.04963015139446626,9.636922600867237,0.5,0.4166666666666667,0.6666666666666666,0.24999999999999994
zero_shot,3c,3,10,50,0.22,0.05088502445991074,23.129556572686703,0.21875,0.125,0.375,0.25
