run_number,move_accuracy,step_accuracy,move_f1,step_f1,move_precision,move_recall,step_precision,step_recall,total_sentences,total_articles
1,0.8389513108614233,0.49812734082397003,0.8477915898669798,0.5064080638813608,0.8648872174885854,0.8389513108614233,0.551669225481273,0.49812734082397003,267,10
2,0.8239700374531835,0.48314606741573035,0.8361790699514756,0.49421177057202276,0.8621213116830562,0.8239700374531835,0.5701077327599167,0.48314606741573035,267,10
3,0.8089887640449438,0.45692883895131087,0.8251343638984088,0.47094642080549476,0.8586255816592895,0.8089887640449438,0.5528103681429974,0.45692883895131087,267,10
4,0.8164794007490637,0.4756554307116105,0.8305657141841087,0.49090373593684206,0.8629962753797322,0.8164794007490637,0.6050241261946803,0.4756554307116105,267,10
5,0.8239700374531835,0.4756554307116105,0.8354715237962883,0.48462500207697745,0.8585467699537069,0.8239700374531835,0.5384501120665661,0.4756554307116105,267,10
6,0.8389513108614233,0.4606741573033708,0.8500677592358664,0.4722045383088904,0.8743814148412641,0.8389513108614233,0.5661615810812144,0.4606741573033708,267,10
7,0.8239700374531835,0.45692883895131087,0.8345108387243219,0.4590936721710465,0.8570374885167126,0.8239700374531835,0.5144578492360832,0.45692883895131087,267,10
8,0.8277153558052435,0.49063670411985016,0.8384567991309564,0.513350023321656,0.8612068051727794,0.8277153558052435,0.628776367940347,0.49063670411985016,267,10
9,0.8127340823970037,0.4794007490636704,0.8262803222120264,0.4861963891560833,0.8541685500247892,0.8127340823970037,0.5447853332684792,0.4794007490636704,267,10
10,0.8164794007490637,0.48314606741573035,0.8300283751979082,0.49892163150590807,0.8592752832325696,0.8164794007490637,0.5751368158230368,0.48314606741573035,267,10
11,0.8127340823970037,0.4794007490636704,0.8274700818327214,0.4945338258113474,0.8616627969078218,0.8127340823970037,0.5855124495409567,0.4794007490636704,267,10
12,0.8352059925093633,0.49063670411985016,0.8454352584545389,0.5015441191571082,0.8666416120110241,0.8352059925093633,0.5485041935864032,0.49063670411985016,267,10
13,0.8052434456928839,0.50187265917603,0.8200582656238344,0.5196024791830978,0.8513090620252481,0.8052434456928839,0.5790833163971392,0.50187265917603,267,10
14,0.7940074906367042,0.48314606741573035,0.8088155969327341,0.4954890310516248,0.8432642825558712,0.7940074906367042,0.5669010311128847,0.48314606741573035,267,10
15,0.8239700374531835,0.4943820224719101,0.8354300879509142,0.5021383341777591,0.858477269105108,0.8239700374531835,0.5497661885058075,0.4943820224719101,267,10
16,0.8277153558052435,0.4681647940074906,0.8385432503835368,0.48047401678071655,0.8600737860119786,0.8277153558052435,0.5568120520457546,0.4681647940074906,267,10
17,0.8164794007490637,0.49812734082397003,0.829340685470973,0.5108953680792073,0.8555960689668228,0.8164794007490637,0.5654588216102007,0.49812734082397003,267,10
18,0.8352059925093633,0.4868913857677903,0.8454352584545389,0.5041340416217285,0.8666416120110241,0.8352059925093633,0.5890823638874069,0.4868913857677903,267,10
19,0.8202247191011236,0.47191011235955055,0.8324042139042066,0.48228383681064513,0.8570548563671746,0.8202247191011236,0.5508179457520985,0.47191011235955055,267,10
20,0.8127340823970037,0.4868913857677903,0.8262803222120264,0.5041151660345584,0.8541685500247892,0.8127340823970037,0.5896190042026681,0.4868913857677903,267,10
21,0.8127340823970037,0.50187265917603,0.8261990391258434,0.5160134423511589,0.8540861829514262,0.8127340823970037,0.577943691221659,0.50187265917603,267,10
22,0.8277153558052435,0.5093632958801498,0.8385432503835368,0.5186491455137028,0.8600737860119786,0.8277153558052435,0.5747255192966347,0.5093632958801498,267,10
23,0.8314606741573034,0.4868913857677903,0.8416200489230788,0.4944932324825772,0.861638009836331,0.8314606741573034,0.5708529905221954,0.4868913857677903,267,10
24,0.8314606741573034,0.4868913857677903,0.8423449922082181,0.5035961048132225,0.8650987507851211,0.8314606741573034,0.5881660228200737,0.4868913857677903,267,10
25,0.8052434456928839,0.4756554307116105,0.8173832274252197,0.48658867273168177,0.8437332366799565,0.8052434456928839,0.5435480683792502,0.4756554307116105,267,10
26,0.8202247191011236,0.4756554307116105,0.8340319985650454,0.48144969042680946,0.8635638402945686,0.8202247191011236,0.5413503715477047,0.4756554307116105,267,10
27,0.8239700374531835,0.4756554307116105,0.8361790699514756,0.48116132167992465,0.8621213116830562,0.8239700374531835,0.5426483180740753,0.4756554307116105,267,10
28,0.8164794007490637,0.5168539325842697,0.829340685470973,0.5309798604609426,0.8555960689668228,0.8164794007490637,0.6039501864330077,0.5168539325842697,267,10
29,0.8202247191011236,0.4868913857677903,0.8324042139042066,0.49785328472525786,0.8570548563671746,0.8202247191011236,0.5862188129198601,0.4868913857677903,267,10
30,0.8352059925093633,0.49063670411985016,0.8454184412944753,0.4995739436725814,0.8666016582089482,0.8352059925093633,0.5681310735411499,0.49063670411985016,267,10
31,0.8089887640449438,0.5056179775280899,0.8225023009904704,0.5140970174201611,0.8490708262505895,0.8089887640449438,0.5627057676985939,0.5056179775280899,267,10
32,0.7940074906367042,0.4756554307116105,0.8097021792676471,0.4981412878374818,0.8457945962074093,0.7940074906367042,0.6032378310208671,0.4756554307116105,267,10
33,0.8089887640449438,0.47191011235955055,0.8232225257862263,0.48400687457100416,0.8527705508916263,0.8089887640449438,0.5637330912673774,0.47191011235955055,267,10
34,0.797752808988764,0.4868913857677903,0.8140588036271208,0.5003514599057803,0.8487376465050381,0.797752808988764,0.5719757988461142,0.4868913857677903,267,10
35,0.8314606741573034,0.45318352059925093,0.8423151961596645,0.45859074216320556,0.8650549844609132,0.8314606741573034,0.5431240137411393,0.45318352059925093,267,10
36,0.8352059925093633,0.5355805243445693,0.8454352584545389,0.5435626555514093,0.8666416120110241,0.8352059925093633,0.5845453268261849,0.5355805243445693,267,10
37,0.8314606741573034,0.4943820224719101,0.8416200489230788,0.4993522511915813,0.861638009836331,0.8314606741573034,0.5511926410447026,0.4943820224719101,267,10
