metric,n,mean,sd,cv,median,min,max,range,q25,q75,iqr,ci_lower,ci_upper,ci_width,shapiro_stat,shapiro_p,is_normal
Move Accuracy,100,0.8336704119850187,0.02161767466424227,2.5930720766218993,0.8352059925093633,0.7752808988764045,0.8764044943820225,0.101123595505618,0.8202247191011236,0.846441947565543,0.02621722846441943,0.8293809963329197,0.8379598276371176,0.008578831304197898,0.978873883030985,0.1085743866395735,True
Step Accuracy,100,0.5797378277153559,0.025308633767596615,4.365530858549193,0.5805243445692884,0.5131086142322098,0.6367041198501873,0.1235955056179775,0.5617977528089888,0.5955056179775281,0.0337078651685393,0.5747160457012368,0.5847596097294749,0.010043564028238139,0.9860924564070976,0.3795392457214934,True
Move F1,100,0.831176460212684,0.02073437010836955,2.4945810066690264,0.8326637811478688,0.7765652246432849,0.8748524571558278,0.0982872325125429,0.8186684672210944,0.8457620095223806,0.027093542301286133,0.8270623113478958,0.8352906090774722,0.00822829772957645,0.9856548903041722,0.3536773413582015,True
Step F1,100,0.5610186477908128,0.024217086310326923,4.316627692446465,0.5624458829923544,0.5019672026820762,0.6197572228211318,0.1177900201390556,0.5442433358524209,0.57618072989598,0.03193739404355911,0.5562134524735028,0.5658238431081227,0.00961039063461988,0.9898610491585461,0.6533639788859724,True
