metric,n,mean,sd,cv,median,min,max,range,q25,q75,iqr,ci_lower,ci_upper,ci_width,shapiro_stat,shapiro_p,is_normal
Move Accuracy,100,0.8176404494382021,0.012582690999589148,1.5389027057351028,0.8164794007490637,0.7827715355805244,0.8426966292134831,0.059925093632958726,0.8089887640449438,0.8277153558052435,0.01872659176029967,0.8151437705605041,0.8201371283159001,0.004993357755396,0.9798037510851068,0.12833660087535742,True
Step Accuracy,100,0.4804119850187266,0.019014582719573465,3.957974262201695,0.4812734082397004,0.40074906367041196,0.5355805243445693,0.1348314606741573,0.47191011235955055,0.49063670411985016,0.018726591760299616,0.47663907928292243,0.4841848907545308,0.007545811471608377,0.9616657558259082,0.0052952814392405595,False
Move F1,100,0.8306645377454224,0.01075067371439992,1.294225674251033,0.8302777893040589,0.8009873249679083,0.8516337687377732,0.050646443769864935,0.8238880627173518,0.8385074833821301,0.014619420664778282,0.8285313708429972,0.8327977046478475,0.0042663338048503086,0.9844540570721219,0.28987583378512016,True
Step F1,100,0.49215371415555204,0.018753008259545297,3.8103965732986724,0.4921994998857789,0.41961080016656427,0.5435626555514093,0.12395185538484499,0.48178150001509956,0.5035329206929577,0.02175142067785818,0.4884327104675148,0.4958747178435893,0.007442007376074478,0.9753065324238721,0.05702194731175328,True
